Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
5000,1.4688021,0.00029925018,8.014046,-11.750260531902313,-11.750251498946454,993.0,16.530079,0.08120979
10000,1.4272238,0.00029775017,7.3272066,-7.0000114917755125,-7.000001378869638,993.0,6.271682,0.070341066
15000,1.345879,0.00029625016,6.980924,-18.400010728836058,-18.400001702737065,993.0,6.5316696,0.07534411
20000,1.1150969,0.00029475018,6.8152184,-8.600007103383541,-8.600001008994877,993.0,3.6227493,0.06357718
25000,0.8716426,0.00029325017,7.6934004,-12.000002798438071,-12.00000057318248,993.0,2.845599,0.06631213
30000,0.4974255,0.00029175016,5.2093782,7.799998717010022,7.799999758275225,993.0,1.8035868,0.072992116
35000,0.51886076,0.00029025017,3.9680495,0.7999968439340591,0.7999989523319527,993.0,3.149189,0.06932752
40000,0.060927685,0.00028875016,4.020407,-2.8000002592802047,-2.8000001257751137,993.0,0.5025083,0.07355905
45000,0.055005524,0.00028725018,3.0877204,-1.0000000521540642,-1.0000000474974513,993.0,0.22484772,0.06985321
50000,0.069534086,0.00028575014,2.1926742,-2.800000102818012,-2.8000001257751137,993.0,0.21927623,0.062754855
55000,0.09615645,0.00028425016,1.8990908,-1.8000006884336472,-1.8000001647043973,993.0,0.22756994,0.064469226
60000,0.19917683,0.00028275017,1.012677,-1.0000045388936996,-1.000000560004264,993.0,1.0696718,0.0711957
65000,0.46961993,0.00028125016,-0.34539962,8.79999008178711,8.799999119644053,993.0,2.532224,0.06864854
70000,0.5580701,0.00027975015,-0.696715,8.999992847442627,8.999999122228473,993.0,2.4464772,0.06826966
75000,0.45795143,0.00027825017,-1.1100461,7.799994468688965,7.799999088048935,993.0,2.5305758,0.069825895
80000,0.47853565,0.0002767502,-1.3305949,4.199990844726562,4.199998984928243,993.0,2.396445,0.077085316
85000,0.46116504,0.00027525018,-0.5824603,6.999992871284485,6.999999110889621,993.0,2.5655751,0.06650595
90000,0.40475976,0.00027375016,-0.20073673,6.599993324279785,6.5999990538693964,993.0,2.357711,0.074355245
95000,0.36094794,0.00027225018,0.5126183,8.199998196959495,8.199999216175637,993.0,2.4937708,0.063085094
100000,0.21903712,0.00027075017,1.1579641,6.799998001754284,6.799999240599573,993.0,2.250579,0.076970756
105000,0.03878416,0.00026925022,1.5366367,-5.0000045374035835,-5.000000580097549,993.0,0.77445304,0.06902218
110000,0.0155107975,0.00026775018,1.0608946,-10.00000314861536,-10.000000438885763,993.0,0.2665465,0.07000772
115000,0.008027835,0.0002662502,0.9544732,-1.0000000521540642,-1.0000000474974513,993.0,0.04603738,0.07234896
120000,0.04437125,0.00026475018,0.35441428,-4.600000500679016,-4.600000204052776,993.0,0.07841241,0.06625036
125000,0.19405486,0.00026325017,-0.04198085,-4.6000011071562765,-4.600000204052776,993.0,0.033114947,0.060489666
130000,0.07784441,0.00026175016,-1.2943585,-0.20000298023223878,-0.20000051332172006,993.0,1.0428336,0.075539835
135000,0.026309447,0.00026025018,-0.21055397,-2.200002412497997,-2.20000038202852,993.0,0.45140645,0.0686526
140000,0.010570512,0.00025875017,-0.02955834,-6.400002598762512,-6.4000002823304385,993.0,0.06410733,0.07156469
145000,0.008339419,0.00025725015,-0.04817899,-0.8000000566244125,-0.8000000449130311,993.0,0.053304017,0.06820673
150000,0.0061990805,0.00025575017,-0.19621621,-2.800001035630703,-2.8000001257751137,993.0,0.07120924,0.07761377
155000,0.0056852377,0.0002542502,-0.50502473,-2.600000861287117,-2.6000001231906937,993.0,0.14888369,0.07114196
160000,0.017497826,0.00025275018,-1.5212812,-5.200001032650471,-5.20000026524067,993.0,0.598242,0.07498684
165000,0.0012138512,0.00025125017,-1.2973087,-1.0000000521540642,-1.0000000474974513,993.0,0.34310174,0.07708435
170000,0.00086868537,0.00024975018,-0.743721,-2.800000102818012,-2.8000001257751137,993.0,0.3733409,0.06686905
175000,0.0010997013,0.00024825017,-0.25400144,-1.0000000521540642,-1.0000000474974513,993.0,0.13348179,0.07291126
180000,0.13431701,0.00024675016,-0.61007214,0.5999976813793182,0.5999995504505933,993.0,0.77510405,0.06899901
185000,0.2126035,0.00024525018,-1.1781145,9.799995654821396,9.79999929186888,993.0,2.5032907,0.061545406
190000,0.063358895,0.0002437502,0.010688186,0.5999970048666,0.5999995063524693,993.0,1.2570925,0.06665137
195000,0.11779481,0.0002422502,-0.6611291,-0.600004518032074,-0.6000005641719326,993.0,1.2628618,0.064280614
200000,0.047500405,0.00024075019,-0.25721967,-1.0000004664063453,-1.000000311504118,993.0,0.4768608,0.067249276
205000,0.16378929,0.00023925018,0.26078364,-1.0000000521540642,-1.0000000474974513,993.0,0.0051937234,0.07870384
210000,0.0006410444,0.0002377502,0.1918892,-1.0000000521540642,-1.0000000474974513,993.0,0.0019048036,0.0718933
215000,0.0006680063,0.00023625021,0.13943706,-1.0000000521540642,-1.0000000474974513,993.0,0.0012577367,0.061382923
220000,0.0006987582,0.0002347502,0.0649824,-1.0000000521540642,-1.0000000474974513,993.0,0.0014674775,0.064801626
225000,0.00073340046,0.00023325019,0.045704715,-1.0000000521540642,-1.0000000474974513,993.0,0.0009237515,0.064102985
230000,0.0009663027,0.00023175021,-0.0069278567,-2.800000102818012,-2.8000001257751137,993.0,0.07051929,0.07299211
235000,0.0058607096,0.0002302502,0.09955804,-2.6000010520219803,-2.6000001231906937,993.0,0.111138776,0.06926208
240000,0.037097502,0.00022875018,-0.47634658,-9.200002165138722,-9.200000799424014,993.0,1.5618818,0.07149409
245000,0.007302117,0.00022725019,-0.83353186,-0.8000007703900337,-0.8000001408625395,993.0,0.84819096,0.06917927
250000,0.0467646,0.0002257502,-0.32991835,2.4000002071261406,2.3999995343619958,993.0,1.8145326,0.06299085
255000,0.0016413425,0.0002242502,1.2889287,-1.0000000521540642,-1.0000000474974513,993.0,0.7175411,0.070518434
260000,0.00092536595,0.00022275018,1.183206,-1.0000000521540642,-1.0000000474974513,993.0,0.044984918,0.06911906
265000,0.011461306,0.0002212502,0.76504564,1.5999998450279236,1.5999999358318746,993.0,0.023555553,0.06949058
270000,0.033793803,0.00021975022,1.0746362,-3.6000050991773604,-3.600000827596523,993.0,1.4811742,0.056894243
275000,0.17789185,0.0002182502,1.157419,2.7999946236610413,2.7999992894474417,993.0,1.7073779,0.06922085
280000,0.034590006,0.0002167502,0.34740874,4.599995768070221,4.599999510939233,993.0,1.4118707,0.062897384
285000,5.497266e-05,0.00021525021,-0.2982785,-1.0000000521540642,-1.0000000474974513,993.0,0.15079921,0.069511294
290000,3.895705e-05,0.00021375022,-0.33075458,-1.0000000521540642,-1.0000000474974513,993.0,0.0006143603,0.0690569
295000,3.8954084e-05,0.0002122502,-0.2610633,-1.0000000521540642,-1.0000000474974513,993.0,0.0004538034,0.07625976
300000,3.898121e-05,0.0002107502,-0.21600735,-1.0000000521540642,-1.0000000474974513,993.0,0.00024831478,0.06363714
305000,3.9026345e-05,0.00020925021,-0.18014097,-1.0000000521540642,-1.0000000474974513,993.0,0.00017856146,0.06384231
310000,3.919561e-05,0.0002077502,-0.15206322,-1.0000000521540642,-1.0000000474974513,993.0,0.0003341866,0.07002649
315000,4.010673e-05,0.00020625019,-0.22432116,-1.0000000521540642,-1.0000000474974513,993.0,0.010386921,0.069538
320000,4.163742e-05,0.0002047502,-0.2661165,-1.0000000521540642,-1.0000000474974513,993.0,0.05826196,0.06937441
325000,4.6664107e-05,0.0002032502,-0.27473125,-1.0000000521540642,-1.0000000474974513,993.0,0.080914855,0.06918786
330000,5.2537966e-05,0.00020175018,-0.5503317,-1.0000000521540642,-1.0000000474974513,993.0,0.22176993,0.067605786
335000,5.2833188e-05,0.0002002502,-0.22157624,-1.0000000521540642,-1.0000000474974513,993.0,0.24555916,0.068364725
340000,4.2345928e-05,0.0001987502,0.22314438,-1.0000000521540642,-1.0000000474974513,993.0,0.04600034,0.08176954
345000,4.239586e-05,0.00019725019,0.2710905,-1.0000000521540642,-1.0000000474974513,993.0,0.009393098,0.064684965
350000,4.256647e-05,0.00019575021,0.18694374,-1.0000000521540642,-1.0000000474974513,993.0,0.0012534258,0.06461497
355000,4.2820437e-05,0.00019425021,0.10348906,-1.0000000521540642,-1.0000000474974513,993.0,0.0033235191,0.06340341
360000,4.3519343e-05,0.0001927502,-0.035176594,-1.0000000521540642,-1.0000000474974513,993.0,0.0320608,0.0672342
365000,4.42152e-05,0.0001912502,0.04349944,-1.0000000521540642,-1.0000000474974513,993.0,0.060753487,0.06814492
370000,4.4698776e-05,0.00018975021,0.16588657,-1.0000000521540642,-1.0000000474974513,993.0,0.017558359,0.072036356
375000,4.660674e-05,0.00018825021,0.33708435,-1.0000000521540642,-1.0000000474974513,993.0,0.12603256,0.06308128
380000,4.7158555e-05,0.00018675021,0.20284173,-1.0000000521540642,-1.0000000474974513,993.0,0.004143601,0.07194498
385000,4.759617e-05,0.00018525022,0.108667195,-1.0000000521540642,-1.0000000474974513,993.0,0.007549899,0.068571374
390000,4.8676015e-05,0.0001837502,-0.114395216,-1.0000000521540642,-1.0000000474974513,993.0,0.041689377,0.0667071
395000,4.9700076e-05,0.00018225021,-0.08464677,-1.0000000521540642,-1.0000000474974513,993.0,0.04196561,0.0792436
400000,5.12599e-05,0.00018075021,0.08528908,-1.0000000521540642,-1.0000000474974513,993.0,0.078098424,0.062936924
405000,5.4812528e-05,0.0001792502,0.20043293,-1.0000000521540642,-1.0000000474974513,993.0,0.025321646,0.07475766
410000,5.8370555e-05,0.0001777502,0.003754425,-1.0000000521540642,-1.0000000474974513,993.0,0.047303606,0.079853386
415000,6.118356e-05,0.0001762502,0.004039207,-1.0000000521540642,-1.0000000474974513,993.0,0.06689461,0.06404526
420000,5.3985917e-05,0.00017475021,0.25590694,-1.0000000521540642,-1.0000000474974513,993.0,0.05604765,0.07191269
