Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,0.69910014,0.000299925,-21.217607,2.4646861467710033,2.4646857719911037,175.64285714285714
10000,0.69291073,0.00029977504,-22.116138,2.829765676181642,2.8297652792275385,197.8695652173913
15000,0.6487776,0.000299625,-20.895582,2.3872335478340068,2.3872333684994373,146.44444444444446
20000,0.6329886,0.000299475,-20.23762,4.000737463731447,4.000736927817343,257.89473684210526
25000,0.6543495,0.000299325,-20.849327,1.8616669932388403,1.861666710075143,135.5
30000,0.6515642,0.00029917504,-20.416245,2.4655646794708446,2.465564337253454,171.32142857142858
35000,0.6170375,0.000299025,-20.07889,3.0807422085878593,3.0807417431533395,220.0
40000,0.6193392,0.00029887503,-19.478273,3.3652550616904837,3.3652546131429104,217.9090909090909
45000,0.6762286,0.00029872503,-18.751444,2.8079004684835898,2.8079000629049213,190.19230769230768
50000,0.68194133,0.00029857503,-18.931782,3.1597524682898075,3.159752075212309,200.12
55000,0.7582962,0.00029842506,-17.890123,2.312031603702053,2.312031299263708,157.8125
60000,0.7905994,0.00029827503,-18.007471,1.9462813624256365,1.9462811292154634,132.94594594594594
65000,0.80688953,0.00029812503,-16.826023,1.4040425254408126,1.4040423441049195,95.03846153846153
70000,0.81787187,0.00029797503,-16.056463,1.051135746138644,1.0511356203856788,83.27118644067797
75000,0.8561891,0.00029782506,-14.846435,1.032967360293279,1.0329672398248908,81.04918032786885
80000,0.7840529,0.00029767503,-13.727288,1.0001517543869634,1.0001516387572102,79.88709677419355
85000,0.8063542,0.00029752502,-13.011774,1.0329542414086763,1.0329541236610194,81.11475409836065
90000,0.8088951,0.00029737502,-11.660396,1.1250965978418077,1.1250964576689253,88.73214285714286
95000,0.81235933,0.00029722505,-11.098985,1.2887694241093972,1.288769262477357,94.48076923076923
100000,0.8068322,0.00029707502,-9.99201,1.0348001692267457,1.0348000282053895,84.56896551724138
105000,0.82166326,0.00029692505,-9.710897,1.0350415353695381,1.0350414060265958,83.37931034482759
110000,0.8385966,0.00029677502,-9.131376,1.2637247193543206,1.2637245589318105,96.32075471698113
115000,0.8435664,0.00029662502,-8.849357,1.0503701408704122,1.050370025716984,81.46666666666667
120000,0.86731154,0.00029647502,-7.8234253,0.9841001533692882,0.9841000268133939,79.5
125000,0.84436816,0.00029632504,-7.9274545,1.0847831949496927,1.0847830774565426,84.50847457627118
130000,0.8116837,0.000296175,-7.0073667,1.0002501646677653,1.0002500272666415,82.06666666666666
135000,0.7845914,0.000296025,-7.049349,1.0679052573139385,1.0679051138212021,84.16949152542372
140000,0.7936287,0.000295875,-3.8037775,0.9839608131862078,0.983960682554619,80.19672131147541
145000,0.8020029,0.00029572504,-3.7244394,1.0162775593419229,1.0162774442475395,79.90322580645162
150000,0.7594501,0.000295575,-2.7393103,1.032960797728757,1.0329606810379028,81.08196721311475
155000,0.7642581,0.00029542504,-2.5985057,1.0501868032151833,1.050186692388282,82.36666666666666
160000,0.77227664,0.000295275,-2.0053015,1.1038173622098462,1.103817265472728,84.32758620689656
165000,0.7265648,0.000295125,-1.9092747,1.0678408280078133,1.067840704127359,84.49152542372882
170000,0.6665559,0.00029497503,-1.5633571,1.0325485266024066,1.032548411024524,79.19354838709677
175000,0.6423723,0.00029482503,-1.4759996,1.0001356419055694,1.0001355097253597,79.96774193548387
180000,0.62925935,0.000294675,-1.1172185,1.0325162699145656,1.0325161529608229,79.35483870967742
185000,0.6700364,0.00029452503,-0.9460774,1.1748064027892218,1.1748063646606632,78.34920634920636
190000,0.63277435,0.00029437503,-0.7481102,1.048619491438712,1.0486193778065611,79.48387096774194
195000,0.60464245,0.00029422503,-0.61130154,1.0323614314679177,1.032361314255057,80.12903225806451
200000,0.5850045,0.000294075,-0.46495208,1.0494886626962756,1.0494885474997362,80.42622950819673
205000,0.553388,0.00029392503,-0.30319744,0.9837706685066223,0.9837705186249966,81.14754098360656
210000,0.54015225,0.00029377503,-0.24128544,0.9837051033973694,0.9837049448561614,81.47540983606558
215000,0.5284481,0.00029362502,-0.10858096,0.9837575613475237,0.9837574038712297,81.21311475409836
