Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
20000,0.80291724,0.00029550018,2.922612,-7.000141066499054,-7.000105059683847,9922.0,1.0038687,0.06522177
30000,0.82500017,0.00029250016,2.066147,-2.0000383210135624,-2.0000049570735428,9922.0,0.55521476,0.0726351
40000,1.0257413,0.00028950017,1.5625533,23.999963742797263,23.999995503167156,9922.0,0.61334896,0.06766206
50000,1.0591935,0.00028650017,1.1635664,-26.000044106389396,-26.00000556971645,9922.0,0.6362245,0.072465055
60000,1.0620712,0.00028350018,0.563333,-25.00003740831744,-25.000005503330613,9922.0,0.42708123,0.06825728
70000,0.9831954,0.00028050016,0.117654234,-4.000038902158849,-4.000004857494787,9922.0,0.45521083,0.071357146
80000,0.92201006,0.00027750016,0.07124428,-57.00004388659727,-57.00000620198989,9922.0,0.38290167,0.06795955
90000,0.73145545,0.00027450017,0.08693428,-62.00004738837015,-62.00000653695315,9922.0,0.3620857,0.06916228
100000,0.8089612,0.00027150018,-0.2691243,-13.000042172963731,-13.000005298104952,9922.0,0.3584427,0.07328466
110000,0.71169704,0.00026850018,-0.22355053,-29.00004688545596,-29.000005317735486,9922.0,0.32115656,0.070941634
120000,0.7669185,0.00026550016,-0.14894883,-19.000045197899453,-19.000005298104952,9922.0,0.39071622,0.07438531
130000,0.69361764,0.0002625002,-0.43300053,-49.000047958339565,-49.00000587755494,9922.0,0.36306912,0.07116307
140000,0.53964126,0.00025950017,0.35518625,-27.000044840271585,-27.000005400717782,9922.0,0.44090304,0.068105616
150000,0.46684903,0.0002565002,0.7548258,6.999952440266497,6.999994876961864,9922.0,0.38248244,0.06985912
160000,0.33802584,0.00025350018,0.6432749,42.99996586621273,42.999995860795025,9922.0,0.31406534,0.06757735
170000,0.34428236,0.0002505002,0.1403606,-7.000043093110435,-7.000005092879292,9922.0,0.34496993,0.06715645
180000,0.23126255,0.00024750017,-0.39869526,11.999960643355735,11.999995248152118,9922.0,0.33646777,0.06702194
190000,0.2816257,0.00024450017,-0.66043377,1.9999654117273167,1.9999952119251247,9922.0,0.3805348,0.07194775
200000,0.16036487,0.00024150018,-0.4729179,-27.00003943115007,-27.000005619505828,9922.0,0.389745,0.0644064
210000,0.11557812,0.00023850019,0.06327036,-20.000040328945033,-20.000005129106285,9922.0,0.39846152,0.06879432
220000,0.15567237,0.00023550019,0.56228346,-4.000038779224269,-4.000004940477083,9922.0,0.34228355,0.071208164
230000,0.11876724,0.0002325002,0.118254736,2.999955815379508,2.999994926751242,9922.0,0.40976784,0.0739741
240000,0.10414749,0.0002295002,-0.38160133,-12.000044206972234,-12.000005145702744,9922.0,0.36051568,0.069877945
250000,0.0911298,0.0002265002,-0.68241876,5.999958736007102,5.999994910154783,9922.0,0.40348983,0.07340939
260000,0.110115945,0.0002235002,-1.1230924,-16.0000469078077,-16.000005162299203,9922.0,0.41243312,0.06575044
270000,0.04913064,0.00022050021,-1.2421085,-3.369525074958801e-05,-4.774512490257621e-06,9922.0,0.3948999,0.07187474
280000,0.026811872,0.00021750022,-1.2086014,-36.00004577531945,-36.00000573871512,9922.0,0.3597095,0.068791375
290000,0.051099185,0.00021450019,-1.0518261,-10.000043230946176,-10.000004840898328,9922.0,0.41480264,0.068316475
300000,0.07827195,0.0002115002,-0.6718568,-62.00004504143726,-62.00000614916644,9922.0,0.40331617,0.07085779
310000,0.08524347,0.00020850019,0.6424403,-31.000045954133384,-31.000005874520866,9922.0,0.42032743,0.07275443
320000,0.05932843,0.0002055002,0.70759517,11.999959868495353,11.999995231555658,9922.0,0.33750162,0.07259129
330000,0.023110123,0.0002025002,0.45896202,-31.00004168122541,-31.000005334331945,9922.0,0.44923362,0.06679502
