Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.0722831,0.00029700302,8.885305,0.982945530696518,0.9829454813880147,84.18181818181819
2000,1.0719627,0.00029100303,8.444679,0.9826000652656975,0.9826000268512871,86.0
3000,1.06222,0.000285003,8.777924,0.9824000615238523,0.9824000268563395,87.0
4000,1.0885003,0.00027900303,8.2799425,0.9829637070228769,0.9829636632057372,84.18181818181819
5000,1.0841477,0.00027300304,8.145847,0.9824000615238523,0.9824000268563395,87.0
6000,1.0660435,0.00026700302,8.537325,0.9823455197778954,0.982345481403172,87.27272727272727
7000,1.0686233,0.000261003,8.377595,0.9820000543470748,0.9820000268664444,89.0
8000,1.0716059,0.00025500305,8.999889,0.9820364232767712,0.9820363905018894,88.81818181818181
9000,1.0653563,0.00024900303,8.43552,0.9827818887477572,0.9827818450285122,85.0909090909091
10000,1.0833644,0.00024300304,8.447448,0.9824182469905778,0.982418208674062,86.9090909090909
11000,1.0897427,0.00023700304,8.810664,0.982200056547299,0.982200026861392,88.0
12000,1.0719672,0.00023100304,9.11148,0.9825455252377485,0.9825454813981196,86.27272727272727
13000,1.0613217,0.00022500305,8.973899,0.9817273271143098,0.9817272996006068,90.36363636363636
14000,1.0943811,0.00021900305,8.538419,0.9826727978758175,0.9826727541221771,85.63636363636364
15000,1.0963715,0.00021300303,7.632245,0.9825818833937361,0.9825818450335646,86.0909090909091
16000,1.0912408,0.00020700306,8.555741,0.9827000667185833,0.9827000268487609,85.5
17000,1.0699687,0.00020100304,8.50088,0.982800070640885,0.9828000268462347,85.0
18000,1.0735526,0.00019500304,8.940675,0.9828334098565392,0.9828333601787259,84.83333333333333
19000,1.0606524,0.00018900307,9.002651,0.9823455197143961,0.982345481403172,87.27272727272727
20000,1.0885974,0.00018300307,8.177503,0.9823273324873298,0.9823272995854495,87.36363636363636
21000,1.0759976,0.00017700305,8.819668,0.9826667382731102,0.9826666935162697,85.66666666666667
22000,1.1557369,0.00017100308,7.6632977,0.9828727978535674,0.9828727541171247,84.63636363636364
23000,1.1690981,0.00016500306,7.201008,0.9821455141910437,0.9821454814082244,88.27272727272727
24000,1.1407325,0.00015900306,7.9243135,0.9826500814330453,0.982650026850024,85.75
25000,1.1468269,0.00015300307,7.4770055,0.9823091506365348,0.982309117767727,87.45454545454545
26000,1.1664842,0.00014700307,7.386351,0.9820545997936279,0.9820545723196119,88.72727272727273
27000,1.1471901,0.00014100307,7.360594,0.9828546215695414,0.9828545722994022,84.72727272727273
28000,1.1114236,0.00013500307,8.302477,0.9820727924604646,0.9820727541373344,88.63636363636364
29000,1.1526526,0.00012900308,7.393595,0.9821500615604842,0.9821500268626551,88.25
30000,1.1685579,0.00012300308,7.223671,0.9825818888123401,0.9825818450335646,86.0909090909091
31000,1.1363854,0.000117003074,7.621343,0.9828000760806556,0.9828000268462347,85.0
32000,1.0766429,0.00011100308,7.6971908,0.982316728196262,0.9823166935251114,87.41666666666667
33000,1.073546,0.000105003084,7.7183623,0.9824909741820936,0.9824909359449521,86.54545454545455
34000,1.0547045,9.9003075e-05,7.917644,0.9823091614525765,0.982309117767727,87.45454545454545
35000,1.0899885,9.300308e-05,7.5574555,0.9818546052344821,0.9818545723246643,89.72727272727273
36000,1.0883645,8.700309e-05,7.4769177,0.9816909634127197,0.9816909359651618,90.54545454545455
37000,1.0756814,8.100308e-05,7.814081,0.9817273216322064,0.9817272996006068,90.36363636363636
38000,1.0860211,7.500309e-05,7.437526,0.9823273324026641,0.9823272995854495,87.36363636363636
39000,1.0457613,6.9003094e-05,8.013391,0.9820000651207837,0.9820000268664444,89.0
40000,1.0685772,6.300309e-05,7.6929307,0.9824182523880154,0.982418208674062,86.9090909090909
41000,1.0699434,5.700309e-05,7.844998,0.9822546052111482,0.9822545723145595,87.72727272727273
42000,1.0573943,5.100309e-05,8.103844,0.9821637016297742,0.982163663225947,88.18181818181819
43000,1.0802766,4.5003093e-05,7.7970276,0.9828000715739714,0.9828000268462347,85.0
44000,1.0265305,3.90031e-05,8.073636,0.981945519589565,0.9819454814132769,89.27272727272727
45000,1.0706125,3.30031e-05,7.8843,0.9827455252366648,0.9827454813930672,85.27272727272727
46000,1.0659271,2.7003098e-05,7.94901,0.9816909632433883,0.9816909359651618,90.54545454545455
47000,1.0711476,2.1003103e-05,7.845176,0.9827273434070363,0.9827272995753447,85.36363636363636
48000,1.0727402,1.5003103e-05,7.7451,0.9825167331534127,0.982516693520059,86.41666666666667
49000,1.0826728,9.003104e-06,7.839599,0.9827455251731656,0.9827454813930672,85.27272727272727
50000,1.0623008,3.003107e-06,7.803742,0.9822364343245599,0.982236390496837,87.81818181818181
