Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.6464825,0.00029700148,7.2382064,2.457317069627163,2.4573170728981495,182.73170731707316,3.6652474,0.070926614
4000,1.5795083,0.00029100152,4.6065087,1.6323809532182558,1.6323809522958028,146.74285714285713,1.7120008,0.06880464
6000,1.4510505,0.00028500153,3.0754523,3.3514705882133806,3.3514705882133806,216.83823529411765,0.52979505,0.06763844
8000,1.5015715,0.00027900154,2.1414993,4.765384614467621,4.765384615327303,260.59615384615387,0.27660915,0.0683315
10000,1.5012631,0.00027300153,1.6186659,7.037254901931567,7.037254901931567,355.37254901960785,0.20472634,0.06898576
12000,1.479963,0.0002670015,1.5534148,8.647826086891735,8.647826086891735,420.4782608695652,0.19822137,0.07197633
14000,1.4808538,0.00026100152,1.8002698,21.527272722937845,21.527272727001797,1029.2727272727273,0.16423082,0.07064916
16000,1.46619,0.00025500153,2.125289,39.892857138599666,39.89285714232496,1816.9285714285713,0.22205056,0.07101296
18000,1.4153186,0.00024900152,2.2617831,23.19999999490877,23.199999999254942,1009.0,0.19494143,0.0670794
20000,1.430167,0.00024300153,2.214855,27.90909090909091,27.90909090909091,1178.909090909091,0.19439428,0.07175251
22000,1.3553435,0.00023700154,2.3719177,30.579999995231628,30.579999999701975,1482.8,0.19435269,0.06873873
24000,1.3744447,0.00023100156,2.205978,None,None,None,0.16546628,0.0674546
26000,1.3906554,0.00022500154,1.7475849,118.66666666666667,118.66666666666667,7674.333333333333,0.11825918,0.07072475
28000,1.3640313,0.00021900155,1.5459484,103.66666666666667,103.66666666666667,5380.666666666667,0.11950432,0.06758735
30000,1.326139,0.00021300155,1.785823,99.0,99.0,5614.6,0.13431834,0.069364496
32000,1.256479,0.00020700155,1.7737246,None,None,None,0.1916433,0.06855955
34000,1.2153114,0.00020100156,1.5087501,72.66666666666667,72.66666666666667,3664.6666666666665,0.11063763,0.07011778
36000,1.2441716,0.00019500156,1.4588745,147.0,147.0,7938.0,0.10616099,0.06824894
38000,1.2214756,0.00018900156,1.537605,126.5,126.5,7938.0,0.11601455,0.070910156
40000,1.1810988,0.00018300157,1.7394121,None,None,None,0.11597436,0.06959958
42000,1.1533995,0.00017700157,1.6566166,109.59999998410542,109.59999999900658,5992.0,0.13873167,0.068926215
44000,1.1718429,0.00017100156,1.5088285,139.0,139.0,7938.0,0.12039105,0.071441464
46000,1.2676404,0.00016500158,1.6318657,145.33333333333334,145.33333333333334,7748.0,0.13266177,0.07072292
48000,1.1810771,0.00015900156,1.777825,None,None,None,0.12397218,0.072454676
50000,1.2651619,0.00015300157,1.5539459,135.33333333333334,135.33333333333334,7938.0,0.10489391,0.06886728
52000,1.3349153,0.00014700157,1.4652647,136.0,136.0,7938.0,0.1372953,0.069802724
54000,1.389069,0.00014100157,1.5999873,124.33333333333333,124.33333333333333,7938.0,0.12074508,0.065776356
56000,1.3229071,0.00013500158,1.6454742,None,None,None,0.14183234,0.06806387
58000,1.2027912,0.00012900158,1.848856,155.2999999423822,155.29999999453625,7938.0,0.12786733,0.072040215
60000,1.1306556,0.00012300158,1.7887721,146.5,146.5,7938.0,0.12711078,0.0678887
62000,1.1000935,0.000117001575,1.7242988,144.09999990463257,144.09999998907247,7938.0,0.14539571,0.06734834
64000,1.1442012,0.00011100158,1.6832578,None,None,None,0.1540695,0.06926189
66000,1.0744326,0.000105001585,1.3861854,125.96666665871938,125.96666666616996,7938.0,0.10333259,0.06866923
68000,1.1217891,9.900158e-05,1.3524083,121.5,121.5,7938.0,0.16772231,0.06910241
70000,1.1227947,9.300158e-05,1.4618336,136.5666666428248,136.56666666517654,7938.0,0.14796507,0.07287772
72000,0.9727173,8.7001594e-05,1.5755291,None,None,None,0.112154104,0.070114836
74000,0.9876008,8.1001584e-05,1.3816278,128.33333333333334,128.33333333333334,7938.0,0.1439699,0.06509749
76000,1.1649177,7.500159e-05,1.4615719,135.66666666666666,135.66666666666666,7377.333333333333,0.13666609,0.07174143
78000,1.1447041,6.9001595e-05,1.753075,138.34999990463257,138.34999998658895,7938.0,0.16143289,0.06719216
80000,1.0612925,6.3001586e-05,1.5496413,113.0,113.0,6071.5,0.1126032,0.0702025
82000,1.1020396,5.700159e-05,1.5303378,117.30000001192093,117.29999999701977,7346.5,0.13747372,0.06656591
84000,1.1596642,5.100159e-05,1.3663437,129.0,129.0,7938.0,0.13732028,0.06854276
86000,1.0846604,4.5001594e-05,1.4361764,81.36000000238418,81.35999999940395,4159.2,0.13198182,0.07117423
88000,0.96492845,3.9001596e-05,1.3939314,87.47499995678663,87.47499999217689,5506.25,0.14714386,0.07012601
90000,0.9317466,3.3001597e-05,1.4374667,103.0,103.0,5287.5,0.12875366,0.067882404
92000,0.9711234,2.70016e-05,1.4112753,20.0,20.0,959.0,0.17846043,0.06822858
94000,1.1329957,2.1001604e-05,1.519065,83.2571429184505,83.25714285458837,4899.428571428572,0.18020347,0.067763135
96000,1.0914878,1.5001603e-05,1.7682835,71.7571428162711,71.75714284820216,3277.0,0.1706455,0.06964507
98000,1.0862354,9.001606e-06,1.9464489,78.59999998410542,78.59999999900658,3610.0,0.14181282,0.069317505
100000,1.0097082,3.0016067e-06,1.9512879,48.974999994039536,48.97499999962747,2209.5,0.15615885,0.066944376
