Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.6020286,0.00029700148,-0.9899225,1.8822222228403445,1.882222222122881,114.83703703703704,0.73967105,0.06977821
4000,1.3550886,0.00029100152,0.27698517,0.9977272725240751,0.9977272726934064,90.01704545454545,0.025640026,0.06416711
6000,1.5206938,0.00028500153,0.5211287,1.9137931034482758,1.9137931034482758,125.98275862068965,0.086429246,0.068294086
8000,1.5407559,0.00027900154,1.1656232,6.86842105472297,6.868421052500867,274.9298245614035,0.1808623,0.070508584
10000,1.5987085,0.00027300153,1.4695461,7.844000004529953,7.843999999761581,299.48,0.19180946,0.063447
12000,1.5275486,0.0002670015,1.6450948,6.171929825816238,6.1719298242476945,256.3157894736842,0.26805323,0.07010369
14000,1.487884,0.00026100152,2.146599,16.01724138342101,16.017241379053427,530.0,0.24222884,0.06666161
16000,1.4418224,0.00025500153,2.4061663,17.25333333412806,17.253333333134652,600.4,0.21677461,0.066002436
18000,1.4493045,0.00024900152,2.735867,44.0,44.0,1441.6666666666667,0.1878371,0.07022304
20000,1.3513259,0.00024300153,2.5313184,None,None,None,0.18874119,0.0698522
22000,1.3235399,0.00023700154,2.0054164,161.0,161.0,7938.0,0.13714431,0.06925761
24000,1.2909541,0.00023100156,1.6892395,117.5,117.5,5534.166666666667,0.10070603,0.070370436
26000,1.4396516,0.00022500154,1.9766203,51.81538460804866,51.81538461492612,2432.0,0.17270696,0.07298787
28000,1.4234829,0.00021900155,2.3769302,36.23750001192093,36.237499999813735,1128.5,0.19916347,0.071904905
30000,1.3652838,0.00021300155,2.7643657,218.0,218.0,7938.0,0.22629753,0.06857613
32000,1.3414334,0.00020700155,2.4974875,98.0,98.0,3196.0,0.13244554,0.06776925
34000,1.3724558,0.00020100156,2.1155653,173.56666668256125,173.56666666517654,7938.0,0.11779371,0.06922178
36000,1.4188079,0.00019500156,2.0511665,147.25,147.25,6435.25,0.1993786,0.067508444
38000,1.4815257,0.00018900156,2.3508332,112.0,112.0,4419.5,0.16249429,0.06914239
40000,1.4888935,0.00018300157,2.1897428,151.79999995231628,151.79999999701977,7275.0,0.13442698,0.070187286
42000,1.4538739,0.00017700157,1.8419594,163.0,163.0,7938.0,0.098345295,0.06936251
44000,1.4656014,0.00017100156,1.8076831,162.40000000596046,162.39999999850988,7938.0,0.15148926,0.066022664
46000,1.4840205,0.00016500158,2.1276846,194.0,194.0,7938.0,0.16836981,0.067821965
48000,1.4589372,0.00015900156,2.1360724,152.0,152.0,7938.0,0.14917435,0.069733255
50000,1.4316726,0.00015300157,1.8737414,160.39999997615814,160.39999999850988,7938.0,0.09931064,0.0687079
52000,1.4453106,0.00014700157,1.7515731,150.31999998092653,150.3199999988079,7644.4,0.1671191,0.069701664
54000,1.4142234,0.00014100157,1.9488132,None,None,None,0.18482324,0.06818985
56000,1.3429348,0.00013500158,1.7895418,150.0,150.0,7938.0,0.13525312,0.06922339
58000,1.3570076,0.00012900158,1.6436452,168.4999998807907,168.49999998509884,7938.0,0.12406584,0.068054065
60000,1.3465677,0.00012300158,1.7434459,130.90000001589456,130.89999999850988,6737.333333333333,0.1515387,0.06545886
62000,1.3025548,0.000117001575,2.124171,None,None,None,0.17637913,0.06574883
64000,1.2503142,0.00011100158,2.013011,200.69999957084656,200.699999935925,7938.0,0.14085263,0.06773761
66000,1.2879512,0.000105001585,1.7351751,153.45000004768372,153.44999999925494,7938.0,0.12285491,0.068431735
68000,1.3406812,9.900158e-05,2.001611,173.52000002861024,173.51999999880792,7938.0,0.18879335,0.06931374
70000,1.2883724,9.300158e-05,2.198298,None,None,None,0.21111593,0.06842384
72000,1.2807493,8.7001594e-05,2.0844297,153.59999990463257,153.59999999403954,7938.0,0.11612874,0.06760513
74000,1.2891167,8.1001584e-05,1.9321693,167.5500000268221,167.54999999329448,7938.0,0.13775694,0.06678834
76000,1.3278084,7.500159e-05,1.9583948,176.36000003814698,176.35999999195337,7938.0,0.13553078,0.07197497
78000,1.3057892,6.9001595e-05,2.1355546,None,None,None,0.18896213,0.065087676
80000,1.2569827,6.3001586e-05,2.1436353,145.0,145.0,7938.0,0.115241006,0.06996586
82000,1.2256199,5.700159e-05,1.9152411,161.0,161.0,7938.0,0.20323972,0.06563123
84000,1.256747,5.100159e-05,2.0122592,172.8400000333786,172.83999999463558,7938.0,0.16144754,0.071382426
86000,1.2514446,4.5001594e-05,2.165131,None,None,None,0.18418482,0.068211764
88000,1.193204,3.9001596e-05,2.0121539,145.0,145.0,7938.0,0.12092952,0.07335467
90000,1.1899563,3.3001597e-05,1.6694711,187.44999998807907,187.44999999925494,7938.0,0.13249017,0.071381226
92000,1.1948452,2.70016e-05,1.6469827,151.3,151.29999999403952,7938.0,0.12786658,0.06869972
94000,1.0934651,2.1001604e-05,1.8155174,None,None,None,0.20109136,0.06969125
96000,1.080309,1.5001603e-05,1.6855369,154.5,154.49999997019768,7938.0,0.13072959,0.06996517
98000,1.1164166,9.001606e-06,1.5640982,143.59999998410544,143.59999999403954,7429.333333333333,0.1428787,0.07004815
100000,1.1889411,3.0016067e-06,1.6744478,143.87500005960464,143.87499999254942,7938.0,0.17457885,0.06479058
