Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,0.79483354,0.00029700302,5.256252,36.944872866151854,36.9448680998806,271.3333333333333
2000,0.77038723,0.00029100303,5.5842023,21.95704387333244,21.957040842974674,212.0
3000,0.76592195,0.000285003,5.972788,24.1569238408003,24.15692094755359,212.4
4000,0.7286356,0.00027900303,4.7942643,25.561685202084483,25.561680981839892,189.0
5000,0.70759416,0.00027300304,4.982566,22.949904584907927,22.949900901403453,247.25
6000,0.7691902,0.00026700302,5.2539043,26.560323603823782,26.560321040122652,195.8
7000,0.82047254,0.000261003,5.820696,20.76088330075145,20.76088079655019,193.0
8000,0.7581956,0.00025500305,5.9764833,23.203553304574598,23.203550886410085,229.0
9000,0.7531231,0.00024900303,5.1749167,22.951303284207825,22.951300901368086,240.0
10000,0.78486246,0.00024300304,5.697572,29.157004881370813,29.15700112094055,212.0
11000,0.64220315,0.00023700304,4.0646005,20.557803907780908,20.557800808548926,208.2
12000,0.7311301,0.00023100304,5.09615,29.280404412575688,29.2804011132442,261.0
13000,0.71854013,0.00022500305,5.0351653,27.449703816790134,27.449701075136545,248.0
14000,0.68935096,0.00021900305,4.918157,30.690554318309296,30.690551176285226,293.25
15000,0.69519854,0.00021300303,4.101435,25.280869599975023,25.280867625474155,258.6666666666667
16000,0.66865623,0.00020700306,4.595091,24.35568365128711,24.355680935663987,218.6
17000,0.7534105,0.00020100304,4.709105,19.968370080149423,19.968367451784918,156.16666666666666
18000,0.737099,0.00019500304,4.8364887,24.355763693200423,24.355760935661966,218.2
19000,0.72132456,0.00018900307,4.3686204,25.951205290446524,25.951201017189305,240.75
20000,0.7079856,0.00018300307,4.485226,21.456853843745193,21.456850843318534,212.75
21000,0.69648445,0.00017700305,4.2778034,25.354483963886743,25.35448099394271,224.4
22000,0.7111975,0.00017100308,4.4146433,24.45050334869302,24.450500959297642,244.0
23000,0.65625554,0.00016500306,4.697661,24.70185299136938,24.701850944362377,237.25
24000,0.6552186,0.00015900306,4.3765078,34.93573956331238,34.93573469836944,316.6666666666667
25000,0.73052466,0.00015300307,4.3797317,20.29683616922557,20.296834098706313,180.0
26000,0.6940134,0.00014700307,4.6536946,24.45120330833015,24.45120095927996,240.5
27000,0.67403585,0.00014100307,3.958708,18.46525330777513,18.46525072728764,171.5
28000,0.67965794,0.00013500307,4.2474575,39.74728689268231,39.747281550054325,260.0
29000,0.7055283,0.00012900308,5.186702,24.45310425281059,24.45310095923196,231.5
30000,0.6815895,0.00012300308,4.255936,19.96443704601067,19.96443411855095,175.5
31000,0.7180614,0.000117003074,5.4475927,22.957803165074438,22.957800901203882,208.0
32000,0.6701917,0.00011100308,5.623016,67.84110999316908,67.84110234679974,782.5
33000,0.6754974,0.000105003084,4.377289,32.95493783405982,32.95493462067194,222.33333333333334
34000,0.6476409,9.9003075e-05,4.0262074,33.43095712532522,33.4309513072476,340.5
35000,0.6714205,9.300308e-05,3.510479,18.964070199173875,18.964067413287314,177.33333333333334
36000,0.7533665,8.700309e-05,4.61434,26.56224439586513,26.56224104007415,186.2
37000,0.68394053,8.100308e-05,4.882447,19.96380267717177,19.963800785233616,178.5
38000,0.66670567,7.500309e-05,5.555433,88.74021218484268,88.74020286544692,1279.0
39000,0.6348611,6.9003094e-05,3.6293414,19.961553696892224,19.961550778687524,189.75
40000,0.71904325,6.300309e-05,5.281591,29.194004224496894,29.194001118288725,276.25
41000,0.6823119,5.700309e-05,4.3381124,25.94635394742727,25.946351017311827,264.5
42000,0.7042222,5.100309e-05,4.158882,18.96490219697201,18.964900746599596,173.16666666666666
43000,0.72390676,4.5003093e-05,4.8557115,21.45945352054696,21.459450843252853,200.0
44000,0.69407225,3.90031e-05,4.841605,28.94320573968192,28.943201133210096,280.3333333333333
45000,0.6808954,3.30031e-05,4.1280246,26.946164453122766,26.94616101135616,265.6
46000,0.6983066,2.7003098e-05,3.9310455,24.45520349300932,24.45520095917891,221.0
47000,0.71607596,2.1003103e-05,5.147995,30.696353002160322,30.696351176138705,264.5
48000,0.73594785,1.5003103e-05,5.433706,16.969702904461883,16.969700669265876,149.5
49000,0.69551414,9.003104e-06,4.514277,36.66880471841432,36.66880125455282,400.25
50000,0.7141189,3.003107e-06,4.4285717,21.160643659345805,21.160640784635326,194.2
