Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,0.73315096,0.000299925,-27.252232,1.017655379813293,1.017655200161369,84.10344827586206
10000,0.7224398,0.00029977504,-27.25866,0.983596866329511,0.9835966934927759,82.01666666666667
15000,0.7132337,0.000299625,-25.044224,0.9836001992225647,0.983600026826025,82.0
20000,0.6974335,0.000299475,-24.836803,0.983596866329511,0.9835966934927759,82.01666666666667
25000,0.6738812,0.000299325,-22.582794,0.9836001992225647,0.983600026826025,82.0
30000,0.67169297,0.00029917504,-22.14948,0.9836001992225647,0.983600026826025,82.0
35000,0.6898416,0.000299025,-19.85438,0.9836001992225647,0.983600026826025,82.0
40000,0.7155228,0.00029887503,-19.072937,0.9836001992225647,0.983600026826025,82.0
45000,0.65382296,0.00029872503,-17.58465,0.9836001992225647,0.983600026826025,82.0
50000,0.61698145,0.00029857503,-17.014593,0.9836001992225647,0.983600026826025,82.0
55000,0.62030613,0.00029842506,-14.823324,0.98360675573349,0.9836065842029085,81.9672131147541
60000,0.66393095,0.00029827503,-13.288803,0.9836135307947794,0.9836133601590215,81.93333333333334
65000,0.6054989,0.00029812503,-11.252895,0.9836135307947794,0.9836133601590215,81.93333333333334
70000,0.60383576,0.00029797503,-9.375098,0.9836001992225647,0.983600026826025,82.0
75000,0.6397953,0.00029782506,-7.8668,0.9836100339889526,0.9836098628913503,81.95081967213115
80000,0.633877,0.00029767503,-5.931188,1.071582363120147,1.0715821720742886,88.46428571428571
85000,0.6326123,0.00029752502,-5.135367,1.0348622730957215,1.034862095686298,84.27586206896552
90000,0.6333055,0.00029737502,-3.8456013,1.0353019642398547,1.0353017826255702,86.59649122807018
95000,0.64446455,0.00029722505,-3.393269,1.0518105502545447,1.051810372011146,85.72413793103448
100000,0.67480576,0.00029707502,-2.6105173,1.0878598535180157,1.0878596757362462,86.94736842105263
105000,0.6967746,0.00029692505,-2.4759498,1.2859676129716848,1.2859673819448847,100.61224489795919
110000,0.7783812,0.00029677502,-2.191114,1.7696618737223058,1.7696615820929695,125.64102564102564
115000,0.7157201,0.00029662502,-2.1920567,1.1886341757698968,1.1886339930123935,94.39622641509433
120000,0.54775286,0.00029647502,-1.4039733,1.01751399727474,1.0175138208545957,84.8103448275862
125000,0.54715145,0.00029632504,-1.4590902,1.0340002040493192,1.0340000267223932,84.20338983050847
130000,0.5142959,0.000296175,-1.0960778,1.1485965298531853,1.1485963275664728,90.27777777777777
135000,0.5071272,0.000296025,-1.0926006,1.0169730854489036,1.0169729090905433,84.59322033898304
140000,0.5964614,0.000295875,-0.8314667,1.109407487960363,1.1094073013878767,89.21818181818182
145000,0.6052882,0.00029572504,-0.8717741,1.2747924137385744,1.274792191530829,96.47058823529412
150000,0.61416763,0.000295575,-0.82161593,1.499982054302977,1.49998185310952,113.4090909090909
155000,0.60201496,0.00029542504,-0.72241175,1.6193906964202012,1.619390507885934,116.95238095238095
160000,0.5847801,0.000295275,-0.66585857,1.361868331783471,1.3618681185062667,105.27659574468085
165000,0.5702589,0.000295125,-0.77233475,1.3203361910837703,1.3203360290071577,98.1
170000,0.56267077,0.00029497503,-0.6432714,1.1637238393177871,1.1637236664706672,90.32727272727273
175000,0.55736876,0.00029482503,-0.6516418,1.1668150155994765,1.16681484498878,91.74074074074075
180000,0.549211,0.000294675,-0.45266435,1.2119348083506338,1.2119346450588357,94.0
185000,0.5907248,0.00029452503,-0.17445703,1.511084686897488,1.511084477858579,110.91111111111111
190000,0.5905719,0.00029437503,-0.08486977,1.8161739576669214,1.8161737222008494,129.21052631578948
195000,0.57317185,0.00029422503,-0.15226288,1.886548880796181,1.88654862023125,138.05714285714285
200000,0.54184276,0.000294075,0.23458621,1.8454977431071875,1.8454974793824546,131.0
205000,0.49371132,0.00029392503,0.4569273,1.12998168971562,1.1299815106720887,90.72222222222223
210000,0.4762024,0.00029377503,0.54035735,1.1349348436253002,1.1349346463374297,94.42307692307692
215000,0.46318662,0.00029362502,0.50287807,1.0526493289324113,1.05264915151495,87.56140350877193
220000,0.45192313,0.00029347502,0.50253874,1.0912911181211133,1.0912909372696462,88.9090909090909
225000,0.48780787,0.00029332505,0.47425872,1.0702458232796441,1.0702456432050544,87.29824561403508
230000,0.4743583,0.00029317502,0.4707951,1.203755793566988,1.2037555883030615,92.24074074074075
235000,0.4703272,0.00029302502,0.3277289,1.0539216449667168,1.0539214573119742,87.46428571428571
240000,0.46018258,0.00029287505,0.3476086,1.0170442756557427,1.0170440955294229,84.23728813559322
245000,0.41178203,0.00029272505,0.34900096,1.1964708267638058,1.196470620829096,95.92156862745098
250000,0.41655362,0.00029257502,0.312025,1.091054768075066,1.0910545752031877,90.10909090909091
255000,0.458758,0.00029242504,0.30743414,1.1455638393675063,1.1455636628620347,90.27272727272727
260000,0.47350055,0.000292275,0.2762329,1.1456184202974493,1.1456182130070043,90.03636363636363
265000,0.5284457,0.00029212504,0.35431564,1.2454655440833078,1.245465340042589,98.93877551020408
270000,0.5182055,0.000291975,0.37147143,1.2308463775508034,1.2308461840363565,95.57692307692308
275000,0.53647673,0.00029182504,0.32685357,1.545495713915443,1.545495488717279,113.02272727272727
280000,0.5114673,0.000291675,0.3033464,1.666766884961232,1.666766699625961,118.0952380952381
285000,0.521956,0.00029152507,1.0150473,1.6589905286701851,1.6589902805642895,119.26829268292683
290000,0.5635875,0.00029137504,1.0579716,1.7625764170606133,1.7625762259364517,115.28571428571429
295000,0.4962329,0.00029122503,1.1199242,2.374569064901152,2.3745688009134938,157.625
300000,0.54295605,0.00029107503,1.0565779,2.161761637168726,2.161761340736825,158.1290322580645
305000,0.506608,0.00029092503,1.5565664,2.289832676452915,2.2898323091362873,163.0
310000,0.523581,0.000290775,1.6891959,2.001044095879479,2.0010437990358696,150.3125
315000,0.46376055,0.000290625,1.1809803,1.9996190803976788,1.9996187990718681,157.40625
320000,0.46777382,0.00029047503,0.8723428,1.7644265681799305,1.7644263546309575,124.71052631578948
