Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
2000,1.1177402,0.00029992504,0.0,13.10216,0.9396001934662632,0.9396000247874869,89.3103448275862,41.59473,0.034288194
4000,1.1769218,0.00029977507,0.0,7.6308546,0.9404427176819787,0.9404425527064977,90.87931034482759,12.452011,0.03184278
6000,1.1764649,0.00029962504,0.0,5.0126653,0.9661139233401628,0.9661137709955255,97.49375,4.7896104,0.038764246
8000,1.1622001,0.00029947504,0.0,4.21105,1.5053805999753134,1.5053805062323486,127.22764227642277,2.193935,0.033292703
10000,1.1585064,0.00029932504,0.0,3.2974014,1.5281155752058238,1.5281155289440307,130.5948275862069,1.373504,0.036947925
12000,1.1918657,0.00029917504,0.0,2.7253206,1.6204848885522225,1.6204848190393533,133.168,0.8922528,0.032521263
14000,1.1122297,0.00029902507,0.0,2.0661523,1.4617201161114888,1.4617200176351617,132.70833333333334,0.5836812,0.037205804
16000,1.0689455,0.00029887503,0.0,1.5767192,1.4640569400628387,1.464056907984396,136.20689655172413,0.27782953,0.033629216
18000,0.9783953,0.00029872506,0.0,1.184972,1.6328260876960774,1.6328261716436283,143.77570093457945,0.19120318,0.0348066
20000,0.9685302,0.00029857503,0.0,1.100487,1.7325100791232058,1.7325100992818805,148.80733944954127,0.15070283,0.036542725
22000,0.95371276,0.00029842506,0.0,0.95205265,1.5035163887104401,1.5035163760289751,141.02727272727273,0.14698112,0.0333949
24000,0.9962856,0.00029827506,0.0,0.74043876,1.5091355899844607,1.50913560179149,136.09322033898306,0.13721119,0.031827863
26000,0.9840812,0.00029812503,0.0,0.52321446,1.7171928603705522,1.717192811637368,138.80180180180182,0.10436902,0.033521377
28000,1.0155972,0.00029797506,0.0,0.5221711,1.8924946479261218,1.8924945691969532,150.56363636363636,0.09434387,0.033861384
30000,1.0546528,0.00029782503,0.0,0.5411896,1.8438632763115268,1.8438632656620122,130.6153846153846,0.09997195,0.032903716
32000,1.0205938,0.00029767508,0.0,0.56197745,1.8825683860675781,1.8825683496411025,136.63333333333333,0.1141219,0.035482842
34000,1.0276616,0.00029752505,0.0,0.57025737,1.9480118418560939,1.9480117859382196,151.49019607843138,0.10774261,0.031850014
36000,1.0991316,0.00029737505,0.0,0.7287022,2.10501807247449,2.1050180403707364,145.48648648648648,0.11793548,0.031046115
38000,1.1502918,0.00029722505,0.0,0.5548754,1.6351936207847608,1.6351935196233955,124.47967479674797,0.109516844,0.03303423
40000,1.1576593,0.00029707502,0.0,0.3455429,1.4861415644330358,1.486141381844466,117.90225563909775,0.10301275,0.033487905
42000,1.1069845,0.00029692508,0.0,0.209651,1.347949170008109,1.3479489921205798,111.77931034482759,0.08081737,0.03360064
44000,1.1156356,0.00029677505,0.0,0.19403566,1.6220960306515533,1.622095893848517,128.8181818181818,0.10935544,0.0361964
46000,1.1529107,0.00029662508,0.0,0.41782913,1.7590558566335264,1.7590556833303392,143.36521739130436,0.08899749,0.031731736
48000,1.1908523,0.00029647505,0.0,0.44649473,1.3292306446954607,1.3292304299729876,121.56,0.071184985,0.028032986
50000,1.219492,0.00029632504,0.0,0.7455441,1.741153851265803,1.741153605639738,141.99107142857142,0.116772726,0.034127057
