Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.1947155,0.00029700302,-89.85355,1.0816200336907058,1.0816200209155795,90.8
2000,1.2163305,0.00029100303,-87.964645,0.9822546159848571,0.9822545723145595,87.72727272727273
3000,1.2158246,0.000285003,-87.54355,0.9821091614536602,0.9821091177727794,88.45454545454545
4000,1.1845225,0.00027900303,-97.84831,0.9823667230666615,0.9823666935238483,87.16666666666667
5000,1.2023845,0.00027300304,-85.98674,0.9818546378096058,0.9818545723246643,89.72727272727273
6000,1.2288476,0.00026700302,-90.103615,0.9828546268399805,0.9828545722994022,84.72727272727273
7000,1.2053849,0.000261003,-82.14995,2.255800043931231,2.2558000365492523,147.71428571428572
8000,1.1939234,0.00025500305,-88.744835,0.9818200574256479,0.9818200268709916,89.9
9000,1.2492577,0.00024900303,-83.2475,0.9824334000586532,0.9824333601888308,86.83333333333333
10000,1.2255892,0.00024300304,-87.78377,0.9829091669314287,0.9829091177525697,84.45454545454545
11000,1.1914048,0.00023700304,-90.93305,0.9825667381907502,0.9825666935187959,86.16666666666667
12000,1.2699101,0.00023100304,-82.85245,0.9821818778503009,0.9821818450436695,88.0909090909091
13000,1.2560601,0.00022500305,-75.50645,1.2267001580039505,1.2267000336032652,115.125
14000,1.2547176,0.00021900305,-82.081474,0.9825333998111697,0.9825333601863045,86.33333333333333
15000,1.2256188,0.00021300303,-84.03776,1.090155632726641,1.0901555854312999,103.55555555555556
16000,1.2023993,0.00020700306,-88.2308,0.981460045510903,0.9814600268800859,91.7
17000,1.2220352,0.00020100304,-85.68537,1.0711455133277923,1.071145483857518,97.72727272727273
18000,1.2159443,0.00019500304,-88.920845,0.9820727924392982,0.9820727541373344,88.63636363636364
19000,1.2024242,0.00018900307,-81.8958,1.476050077326363,1.476050040222617,118.25
20000,1.2513762,0.00018300307,-81.472275,0.9820182360708714,0.9820182086841669,88.9090909090909
21000,1.2490766,0.00017700305,-80.273575,1.0804600896080956,1.0804600295465208,96.6
22000,1.2526076,0.00017100308,-77.238846,1.4748750979779288,1.4748750402523,124.125
23000,1.242426,0.00016500306,-84.07292,1.065733384845468,1.0657333552226191,87.0
24000,1.2316616,0.00015900306,-84.41033,1.3803400201490148,1.3803400202697957,97.1
25000,1.291063,0.00015300307,-79.96728,0.9830000755377114,0.9830000268411823,84.0
26000,1.2417073,0.00014700307,-83.31573,1.071745538131588,1.0717454838423608,94.63636363636364
27000,1.2797829,0.00014100307,-79.96636,1.0716182744045826,1.0716182111183032,95.36363636363636
28000,1.2695466,0.00013500307,-82.076126,0.9824364481663163,0.9824363904917846,86.81818181818181
29000,1.2917984,0.00012900308,-80.79786,1.0729273051785475,1.0729272941746537,88.9090909090909
30000,1.2503827,0.00012300308,-76.868576,1.3501751276780851,1.3501750369432557,122.75
31000,1.2525736,0.000117003074,-81.67434,0.9822364286731251,0.982236390496837,87.81818181818181
32000,1.2282838,0.00011100308,-71.42725,1.35162513126852,1.3516250369066256,115.5
33000,1.1227429,0.000105003084,-76.42468,2.1118857560213655,2.1118857470885684,152.85714285714286
34000,1.1784524,9.9003075e-05,-69.51393,1.9684000838703166,1.9684000536217354,156.0
35000,1.1096675,9.300308e-05,-74.43872,4.940000436664559,4.9400000991678095,295.8
36000,1.2119993,8.700309e-05,-74.05516,1.3107112153795444,1.3107111468982313,111.77777777777777
37000,1.1792899,8.100308e-05,-75.51228,1.3506001123168971,1.3506000369325193,120.5
38000,1.1347564,7.500309e-05,-70.8125,2.360480179451406,2.360480064386502,195.0
39000,1.1972463,6.9003094e-05,-71.94096,1.5441429633647203,1.5441428993362933,134.85714285714286
40000,1.1435192,6.300309e-05,-78.349205,2.258857205876016,2.258857191617218,132.57142857142858
41000,1.1513058,5.700309e-05,-68.68241,3.2005503251129994,3.200550087087322,244.0
42000,1.2063285,5.100309e-05,-75.63494,1.2786400940967724,1.278640034874843,105.5
43000,1.2399038,4.5003093e-05,-71.66522,0.9825111726143708,0.9825111379646437,86.44444444444444
44000,1.1408381,3.90031e-05,-75.24741,1.8455751422443427,1.8455750502653245,145.375
45000,1.1211575,3.30031e-05,-68.60973,4.199500205606455,4.199500092021481,249.0
46000,1.2168682,2.7003098e-05,-75.166306,0.9815636906053193,0.9815636632411042,91.18181818181819
47000,1.2093704,2.1003103e-05,-74.839935,1.3118444710142083,1.3118444706455596,106.22222222222223
48000,1.2236652,1.5003103e-05,-74.2947,1.0720546128947965,1.0720545747436434,93.18181818181819
49000,1.1781608,9.003104e-06,-74.89718,1.09128896610087,1.0912889187360026,98.0
50000,1.2208815,3.003107e-06,-77.39977,0.9829455252567475,0.9829454813880147,84.27272727272727
